Algorithms,AUC Score on ambient dataset
Running on :2016-09-11 17:10:56.842034
elliptic_envlope,0.463592567103
expose,0.982931865107
kalman,0.492635925671
lof,0.926772195458
skyline,0.445216792842
tsoutlier,0.698520302822
twitter,0.965313145217
arima,0.46958017894
arma,0.716070199587
WindowedGaussian,0.581108052306
Running on :2016-09-12 07:15:05.374558
elliptic_envlope,0.463592567103
expose,0.982931865107
kalman,0.492635925671
lof,0.926772195458
skyline,0.445216792842
tsoutlier,0.698520302822
twitter,0.965313145217
arima,0.46958017894
arma,0.716070199587
WindowedGaussian,0.581108052306
Running on :2016-09-12 08:00:34.522152
Running on :2016-09-12 08:03:37.536944
Running on :2016-09-12 08:04:16.665971
Running on :2016-09-12 08:12:32.407592
Running on :2016-09-12 08:13:13.547282
Running on :2016-09-12 08:20:46.436821
Running on :2016-09-12 08:24:16.363821
Running on :2016-09-12 08:25:20.124895
Running on :2016-09-13 09:45:23.990117
Running on :2016-09-13 09:46:14.802856
