Algorithms,AUC Score on machine dataset
Running on :2016-09-11 17:13:11.981117
elliptic_envlope,0.572005420651
expose,0.70291084571
kalman,0.489445154467
lof,0.873870697633
skyline,0.696388435944
tsoutlier,0.599615486316
twitter,0.680346833546
arima,0.669615706668
arma,0.588399585739
WindowedGaussian,0.379131594024
Running on :2016-09-12 07:15:44.421488
elliptic_envlope,0.572005420651
expose,0.70291084571
kalman,0.489445154467
lof,0.873870697633
skyline,0.696388435944
tsoutlier,0.599615486316
twitter,0.680346833546
arima,0.669615706668
arma,0.588399585739
WindowedGaussian,0.379131594024
Running on :2016-09-12 08:26:46.285088
