Algorithms,AUC Score on nyc dataset
Running on :2016-09-11 17:08:38.443866
elliptic_envlope,0.522685409598
expose,0.485361124576
kalman,0.496994667959
lof,0.6773630635
skyline,0.523267086767
tsoutlier,0.850169655841
twitter,0.592922927775
arima,0.654774600097
arma,0.490402326709
WindowedGaussian,0.611439650994
Running on :2016-09-12 07:05:49.430589
elliptic_envlope,0.522685409598
expose,0.485361124576
kalman,0.496994667959
lof,0.6773630635
skyline,0.523267086767
tsoutlier,0.850169655841
twitter,0.592922927775
arima,0.654774600097
arma,0.490402326709
WindowedGaussian,0.611439650994
Running on :2016-09-12 07:14:24.660232
elliptic_envlope,0.522685409598
expose,0.485361124576
kalman,0.496994667959
lof,0.6773630635
skyline,0.523267086767
tsoutlier,0.850169655841
twitter,0.592922927775
arima,0.654774600097
arma,0.490402326709
WindowedGaussian,0.611439650994
Running on :2016-09-12 08:28:34.197839
